State,Men's Avg Wage (USD),Men's Average Wage Uncertainty (USD),Women's Avg Wage (USD),Women's Avg Wage Uncertainty (USD),Wage Gap (USD),Wage Gap Uncertainty (USD)
Alabama,59330,689,44783,1253,14574,1430
Alaska,63334,3540,53130,2000,10204,4066
Arizona,57921,787,48171,691,9750,1047
Arkansas,53117,1735,44265,1272,8852,2151
California,59119,510,51593,511,7526,722
Colorado,64006,907,53156,938,10850,1305
Connecticut,71695,1329,59212,981,12483,1652
Delaware,62648,1582,53207,1246,9441,2014
District of Columbia,93109,1697,78937,2292,14172,2852
Florida,50488,247,41685,230,8803,338
Georgia,57668,871,47596,589,10072,1051
Hawaii,56191,1533,44242,1096,11949,1884
Idaho,56790,866,44502,1081,12288,1385
Illinois ,63299,636,50580,279,12719,695
Indiana,59819,694,46752,742,13067,1017
Iowa,63030,856,50098,644,12932,1071
Kansas,60841,897,48741,1053,12100,1383
Kentucky,58375,450,46064,453,12311,639
Louisiana,61145,1373,44091,622,17054,1507
Maine,58682,1688,48499,1117,10183,2024
Maryland,68590,1028,58709,639,9881,1210
Massachusetts ,73170,1009,62585,714,10585,1236
Michigan,64141,431,49916,431,14225,610
Minnesota,65879,696,53513,814,12366,1071
Mississippi,55163,1632,42853,813,12310,1823
Missouri,59179,1114,47048,770,12131,1354
Montana,61072,2226,45567,1103,15505,2484
Nebraska,61441,1142,48217,1366,13224,1780
Nevada,55414,1978,47311,1120,8103,2273
New Hampshire,67211,1941,50284,690,16387,2060
New Mexico,57275,779,48349,1588,8926,1769
New Jersey,69555,737,56790,544,12765,916
New York,62153,687,54843,491,7310,844
North Carolina,57713,1082,47434,727,10279,1304
North Dakota,63966,3156,49810,1389,14156,3448
Ohio,61925,542,49902,451,12023,705
Oklahoma,57003,389,44182,623,12812,734
Oregon ,59263,971,49649,553,9614,1117
Pennsylvania,64582,456,52259,296,12323,544
Rhode Island,62088,1918,53342,2290,8746,2987
South Carolina,55979,1057,43531,474,12448,1158
South Dakota,58252,1239,46391,814,11861,1482
Tennessee,56772,414,46132,409,10640,582
Texas,57467,469,46320,455,11147,653
Utah,64908,653,47385,1152,17523,1324
Vermont,56603,1745,52620,992,3983,2007
Virginia,66095,1131,52626,913,13469,1455
Washington,69181,842,53455,1131,15726,1410
West Virginia,57294,994,44152,1244,13142,1592
Wisconsin,62416,1125,50209,445,12207,1210
Wyoming,95964,2054,44744,1956,21220,2836